group,threshold,paco2_bin,count,weight,tn_q025,tn_q50,tn_q975,fp_q025,fp_q50,fp_q975,fn_q025,fn_q50,fn_q975,tp_q025,tp_q50,tp_q975
ed_inp,45.0,16.0,130,0.0010784980669996183,1.0,1.0,1.0,3.886847630488204e-52,1.6206788869146546e-30,2.5565266731138593e-18,0.0,0.0,0.0,0.0,0.0,0.0
ed_inp,45.0,17.0,149,0.001236124707561101,1.0,1.0,1.0,6.868408081475663e-49,1.143691746260401e-28,2.7900581686932184e-17,0.0,0.0,0.0,0.0,0.0,0.0
ed_inp,45.0,18.0,226,0.001874927408783952,0.9999999999999997,1.0,1.0,9.47080538551283e-46,6.840516923114708e-27,2.7955876520100957e-16,0.0,0.0,0.0,0.0,0.0,0.0
ed_inp,45.0,19.0,256,0.002123811578091556,0.9999999999999977,1.0,1.0,1.0191412180369123e-42,3.517810316993266e-25,2.3611360143573867e-15,0.0,0.0,0.0,0.0,0.0,0.0
ed_inp,45.0,20.0,515,0.004272511573113873,0.9999999999999802,1.0,1.0,8.559359438556952e-40,1.567452630262449e-23,1.9727884267164435e-14,0.0,0.0,0.0,0.0,0.0,0.0
ed_inp,45.0,21.0,377,0.003127644394298893,0.9999999999998472,1.0,1.0,5.611098557561919e-37,6.119377994103117e-22,1.5270351019691476e-13,0.0,0.0,0.0,0.0,0.0,0.0
ed_inp,45.0,22.0,645,0.005351009640113491,0.9999999999989194,1.0,1.0,2.871384745304676e-34,2.1051177634593954e-20,1.0805411902815495e-12,0.0,0.0,0.0,0.0,0.0,0.0
ed_inp,45.0,23.0,620,0.005143606165690488,0.9999999999926584,1.0,1.0,1.2729916543578182e-31,6.364447474146694e-19,7.341626844269292e-12,0.0,0.0,0.0,0.0,0.0,0.0
ed_inp,45.0,24.0,944,0.007831555194212613,0.9999999999537487,1.0,1.0,4.566281941489091e-29,1.636759614203769e-17,4.6251389077944534e-11,0.0,0.0,0.0,0.0,0.0,0.0
ed_inp,45.0,25.0,999,0.008287842837943222,0.9999999997185458,0.9999999999999997,1.0,1.2622064670242716e-26,3.674940778746701e-16,2.8145418324966434e-10,0.0,0.0,0.0,0.0,0.0,0.0
ed_inp,45.0,26.0,1444,0.011979624682672683,0.9999999984088717,0.9999999999999929,1.0,2.521160257215508e-24,7.143647601529003e-15,1.5911283723367e-09,0.0,0.0,0.0,0.0,0.0,0.0
ed_inp,45.0,27.0,1440,0.011946440126765004,0.9999999917648345,0.9999999999998832,1.0,3.4481233184805305e-22,1.1672322062847726e-13,8.235165561065264e-09,0.0,0.0,0.0,0.0,0.0,0.0
ed_inp,45.0,28.0,2036,0.016890938957009407,0.999999959671951,0.9999999999983344,1.0,3.710341622758722e-20,1.665585542722615e-12,4.032804900270062e-08,0.0,0.0,0.0,0.0,0.0,0.0
ed_inp,45.0,29.0,2010,0.016675239343609483,0.999999815605017,0.9999999999781854,1.0,3.648552679635193e-18,2.181450625890422e-11,1.8439498294852533e-07,0.0,0.0,0.0,0.0,0.0,0.0
ed_inp,45.0,30.0,2697,0.022374686820753623,0.999999219315221,0.9999999997499708,0.9999999999999997,2.855041585311781e-16,2.500292160792355e-10,7.80684779075279e-07,0.0,0.0,0.0,0.0,0.0,0.0
ed_inp,45.0,31.0,2562,0.021254708058869403,0.9999970867905352,0.9999999975122473,0.9999999999999827,1.724360309485369e-14,2.487752642531886e-09,2.9132094647841517e-06,0.0,0.0,0.0,0.0,0.0,0.0
ed_inp,45.0,32.0,3647,0.030256018848827757,0.9999888486182891,0.9999999785782552,0.9999999999992071,7.929121678033455e-13,2.1421744865564535e-08,1.1151381710931234e-05,0.0,0.0,0.0,0.0,0.0,0.0
ed_inp,45.0,33.0,3792,0.03145895900048118,0.9999611803805162,0.9999998388521643,0.9999999999760955,2.3904552909875623e-11,1.6114783568219765e-07,3.881961948387202e-05,0.0,0.0,0.0,0.0,0.0,0.0
ed_inp,45.0,34.0,4779,0.03964724817070136,0.9998789518548471,0.9999989562153622,0.9999999993754101,6.245899120803394e-10,1.0437846377438115e-06,0.00012104814515288751,0.0,0.0,0.0,0.0,0.0,0.0
ed_inp,45.0,35.0,4627,0.03838623504620949,0.9996463008524035,0.9999939580988124,0.9999999876260284,1.2373971633171676e-08,6.041901187640561e-06,0.00035369914759653007,0.0,0.0,0.0,0.0,0.0,0.0
ed_inp,45.0,36.0,5679,0.047113773249929485,0.9990376053915894,0.9999699456457715,0.9999998107424191,1.8925758098249106e-07,3.0054354228528367e-05,0.0009623946084106799,0.0,0.0,0.0,0.0,0.0,0.0
ed_inp,45.0,37.0,5418,0.04494848097695332,0.9976583357187073,0.9998635027897017,0.9999978001070889,2.1998929110352295e-06,0.00013649721029825772,0.0023416642812926734,0.0,0.0,0.0,0.0,0.0,0.0
ed_inp,45.0,38.0,6244,0.051801091771889365,0.9942468587562613,0.9994623494477237,0.9999761210232972,2.3878976702700533e-05,0.0005376505522763052,0.005753141243738744,0.0,0.0,0.0,0.0,0.0,0.0
ed_inp,45.0,39.0,5779,0.047943387147621495,0.987498179083997,0.9981306935567376,0.9998295440977242,0.00017045590227574107,0.001869306443262506,0.012501820916003072,0.0,0.0,0.0,0.0,0.0,0.0
ed_inp,45.0,40.0,6002,0.04979342613947469,0.973084026698222,0.9940713118380147,0.9990563065828677,0.0009436934171322222,0.005928688161985349,0.026915973301777897,0.0,0.0,0.0,0.0,0.0,0.0
ed_inp,45.0,41.0,5402,0.044815742753322604,0.9469211322706865,0.9837892806579618,0.9959233455864717,0.00407665441352832,0.016210719342038247,0.05307886772931338,0.0,0.0,0.0,0.0,0.0,0.0
ed_inp,45.0,42.0,5481,0.04547113773249929,0.9038943248974024,0.9612222809136272,0.9866248320787614,0.013375167921238652,0.038777719086372855,0.09610567510259758,0.0,0.0,0.0,0.0,0.0,0.0
ed_inp,45.0,43.0,4698,0.03897526091357082,0.834990142956299,0.9175916981545019,0.9661649202438533,0.03383507975614672,0.0824083018454981,0.165009857043701,0.0,0.0,0.0,0.0,0.0,0.0
