group,bin_center,count,weight,density,true_threshold,borderline_lower,borderline_upper
ed_inp,31.0,2562,0.021254708058869403,0.021254708058869403,45.0,40.0,50.0
ed_inp,32.0,3647,0.030256018848827757,0.030256018848827757,45.0,40.0,50.0
ed_inp,33.0,3792,0.03145895900048118,0.03145895900048118,45.0,40.0,50.0
ed_inp,34.0,4779,0.03964724817070136,0.03964724817070136,45.0,40.0,50.0
ed_inp,35.0,4627,0.03838623504620949,0.03838623504620949,45.0,40.0,50.0
ed_inp,36.0,5679,0.047113773249929485,0.047113773249929485,45.0,40.0,50.0
ed_inp,37.0,5418,0.04494848097695332,0.04494848097695332,45.0,40.0,50.0
ed_inp,38.0,6244,0.051801091771889365,0.051801091771889365,45.0,40.0,50.0
ed_inp,39.0,5779,0.047943387147621495,0.047943387147621495,45.0,40.0,50.0
ed_inp,40.0,6002,0.04979342613947469,0.04979342613947469,45.0,40.0,50.0
ed_inp,41.0,5402,0.044815742753322604,0.044815742753322604,45.0,40.0,50.0
ed_inp,42.0,5481,0.04547113773249929,0.04547113773249929,45.0,40.0,50.0
ed_inp,43.0,4698,0.03897526091357082,0.03897526091357082,45.0,40.0,50.0
ed_inp,44.0,4639,0.03848578871393254,0.03848578871393254,45.0,40.0,50.0
ed_inp,45.0,3744,0.03106074432958901,0.03106074432958901,45.0,40.0,50.0
ed_inp,46.0,3812,0.03162488178001958,0.03162488178001958,45.0,40.0,50.0
ed_inp,47.0,2941,0.024398944731122137,0.024398944731122137,45.0,40.0,50.0
ed_inp,48.0,2952,0.024490202259868258,0.024490202259868258,45.0,40.0,50.0
ed_inp,49.0,2326,0.019296819260316248,0.019296819260316248,45.0,40.0,50.0
ed_inp,50.0,2239,0.018575055169324197,0.018575055169324197,45.0,40.0,50.0
ed_inp,51.0,1794,0.014883273324594734,0.014883273324594734,45.0,40.0,50.0
ed_inp,52.0,1769,0.01467586985017173,0.01467586985017173,45.0,40.0,50.0
ed_inp,53.0,1437,0.011921551709834242,0.011921551709834242,45.0,40.0,50.0
ed_inp,54.0,1327,0.011008976422373027,0.011008976422373027,45.0,40.0,50.0
ed_inp,55.0,1042,0.008644576813950788,0.008644576813950788,45.0,40.0,50.0
