group,paco2_bin,weight
all,241.0,3.034932068103876e-05
all,244.0,1.517466034051938e-05
all,245.0,2.5291100567532298e-05
all,246.0,1.517466034051938e-05
all,247.0,1.011644022701292e-05
all,248.0,1.011644022701292e-05
all,249.0,1.517466034051938e-05
ed_inp,3.0,8.296138976920141e-06
ed_inp,4.0,2.4888416930760424e-05
ed_inp,5.0,1.6592277953840282e-05
ed_inp,6.0,3.3184555907680565e-05
ed_inp,7.0,7.466525079228127e-05
ed_inp,8.0,0.0001244420846538
ed_inp,9.0,0.0001742189185153
ed_inp,10.0,0.000207403474423
ed_inp,11.0,0.0002654764472614
ed_inp,12.0,0.0003152532811229
ed_inp,13.0,0.0004894721996382
ed_inp,14.0,0.0006056181453151
ed_inp,15.0,0.0005309528945228
ed_inp,16.0,0.0010784980669996
ed_inp,17.0,0.0012361247075611
ed_inp,18.0,0.0018749274087839
ed_inp,19.0,0.0021238115780915
ed_inp,20.0,0.0042725115731138
ed_inp,21.0,0.0031276443942988
ed_inp,22.0,0.0053510096401134
ed_inp,23.0,0.0051436061656904
ed_inp,24.0,0.0078315551942126
ed_inp,25.0,0.0082878428379432
ed_inp,26.0,0.0119796246826726
ed_inp,27.0,0.011946440126765
ed_inp,28.0,0.0168909389570094
ed_inp,29.0,0.0166752393436094
ed_inp,30.0,0.0223746868207536
ed_inp,31.0,0.0212547080588694
ed_inp,32.0,0.0302560188488277
ed_inp,33.0,0.0314589590004811
ed_inp,34.0,0.0396472481707013
ed_inp,35.0,0.0383862350462094
ed_inp,36.0,0.0471137732499294
ed_inp,37.0,0.0449484809769533
ed_inp,38.0,0.0518010917718893
ed_inp,39.0,0.0479433871476214
ed_inp,40.0,0.0497934261394746
ed_inp,41.0,0.0448157427533226
ed_inp,42.0,0.0454711377324992
ed_inp,43.0,0.0389752609135708
ed_inp,44.0,0.0384857887139325
ed_inp,45.0,0.031060744329589
ed_inp,46.0,0.0316248817800195
ed_inp,47.0,0.0243989447311221
ed_inp,48.0,0.0244902022598682
ed_inp,49.0,0.0192968192603162
ed_inp,50.0,0.0185750551693241
ed_inp,51.0,0.0148832733245947
ed_inp,52.0,0.0146758698501717
ed_inp,53.0,0.0119215517098342
ed_inp,54.0,0.011008976422373
ed_inp,55.0,0.0086445768139507
ed_inp,56.0,0.0082629544210124
ed_inp,57.0,0.0066949841543745
ed_inp,58.0,0.0063880270122285
ed_inp,59.0,0.0058985548125902
ed_inp,60.0,0.0053510096401134
ed_inp,61.0,0.0042808077120907
ed_inp,62.0,0.0045877648542368
ed_inp,63.0,0.0038742969022217
ed_inp,64.0,0.0035092667872372
ed_inp,65.0,0.0028455756690836
ed_inp,66.0,0.0031276443942988
ed_inp,67.0,0.0024556571371683
ed_inp,68.0,0.0027294297234067
ed_inp,69.0,0.0022233652458145
ed_inp,70.0,0.0023146227745607
ed_inp,71.0,0.0018915196867377
ed_inp,72.0,0.00196618493753
ed_inp,73.0,0.0015679702666379
ed_inp,74.0,0.0014435281819841
ed_inp,75.0,0.0013356783752841
ed_inp,76.0,0.0011780517347226
ed_inp,77.0,0.0013107899583533
ed_inp,78.0,0.0010702019280226
ed_inp,79.0,0.0011116826229072
ed_inp,80.0,0.0009872405382534
ed_inp,81.0,0.0010038328162073
ed_inp,82.0,0.0008710945925766
ed_inp,83.0,0.0008959830095073
ed_inp,84.0,0.0008462061756458
ed_inp,85.0,0.0007051718130382
ed_inp,86.0,0.0006885795350843
ed_inp,87.0,0.0006388027012228
ed_inp,88.0,0.0007300602299689
ed_inp,89.0,0.0008047254807612
ed_inp,90.0,0.0006305065622459
ed_inp,91.0,0.0005226567555459
ed_inp,92.0,0.0004562876437306
ed_inp,93.0,0.0003235494200998
ed_inp,94.0,0.0004313992267998
ed_inp,95.0,0.0004231030878229
ed_inp,96.0,0.0005309528945228
ed_inp,97.0,0.0002571803082845
ed_inp,98.0,0.000414806948846
ed_inp,99.0,0.0003401416980537
ed_inp,100.0,0.0002820687252152
ed_inp,101.0,0.0002488841693076
ed_inp,102.0,0.0002156996133999
ed_inp,103.0,0.0002654764472614
ed_inp,104.0,0.0001742189185153
ed_inp,105.0,0.0002322918913537
ed_inp,106.0,0.0001576266405614
ed_inp,107.0,0.0001825150574922
ed_inp,108.0,0.0001659227795384
ed_inp,109.0,9.95536677230417e-05
ed_inp,110.0,0.0001742189185153
ed_inp,111.0,0.0001576266405614
ed_inp,112.0,0.0001244420846538
ed_inp,113.0,0.0001244420846538
ed_inp,114.0,0.0001078498066999
ed_inp,115.0,9.95536677230417e-05
ed_inp,116.0,0.0001161459456768
ed_inp,117.0,3.3184555907680565e-05
ed_inp,118.0,8.296138976920142e-05
ed_inp,119.0,0.0001244420846538
ed_inp,120.0,9.125752874612156e-05
ed_inp,121.0,8.296138976920142e-05
ed_inp,122.0,9.95536677230417e-05
ed_inp,123.0,6.636911181536113e-05
ed_inp,124.0,9.125752874612156e-05
ed_inp,125.0,9.125752874612156e-05
ed_inp,126.0,4.977683386152085e-05
ed_inp,127.0,4.148069488460071e-05
ed_inp,128.0,7.466525079228127e-05
ed_inp,129.0,1.6592277953840282e-05
ed_inp,130.0,7.466525079228127e-05
ed_inp,131.0,4.977683386152085e-05
ed_inp,132.0,4.148069488460071e-05
ed_inp,133.0,1.6592277953840282e-05
ed_inp,135.0,2.4888416930760424e-05
ed_inp,136.0,3.3184555907680565e-05
ed_inp,138.0,1.6592277953840282e-05
ed_inp,139.0,2.4888416930760424e-05
ed_inp,140.0,4.148069488460071e-05
ed_inp,142.0,2.4888416930760424e-05
ed_inp,143.0,2.4888416930760424e-05
ed_inp,144.0,1.6592277953840282e-05
ed_inp,145.0,8.296138976920141e-06
ed_inp,146.0,1.6592277953840282e-05
ed_inp,147.0,4.977683386152085e-05
ed_inp,148.0,3.3184555907680565e-05
ed_inp,150.0,2.4888416930760424e-05
ed_inp,152.0,4.977683386152085e-05
ed_inp,153.0,4.977683386152085e-05
ed_inp,154.0,3.3184555907680565e-05
